Date,SET,Value,Modern,Internet,2D
5/22/2025,1173.37,38569.91,20,09,79
5/23/2025,1180.20,16668.68,96,43,08
5/23/2025,1176.36,34683.81,40,31,63
5/26/2025,1172.11,12721.61,40,06,11
5/26/2025,1178.43,27690.45,01,86,30
5/27/2025,1166.41,21159.84,98,47,19
5/27/2025,1163.42,34845.62,98,43,25
5/28/2025,1165.00,20335.87,91,00,05
5/28/2025,1160.74,36281.33,83,71,41
5/29/2025,1169.62,19159.94,96,41,29
5/29/2025,1164.01,34788.54,02,17,18
5/30/2025,1156.63,16856.85,27,05,36
5/30/2025,1149.18,73098.63,82,23,88
6/4/2025,1135.60,26656.49,50,00,06
6/4/2025,1132.02,49605.35,79,20,25
6/5/2025,1139.28,18125.75,85,88,85
6/5/2025,1140.63,33207.27,06,66,37
6/6/2025,1132.44,18430.55,05,86,40
6/6/2025,1136.43,30853.01,77,48,33
6/9/2025,1136.76,14327.59,87,71,67
6/9/2025,1135.24,24061.72,54,28,41
6/10/2025,1139.25,15625.49,03,51,55
6/10/2025,1139.16,29300.62,16,00,60
6/11/2025,1141.98,13463.94,71,08,83
6/11/2025,1141.58,26216.13,63,17,86
6/12/2025,1134.93,17250.42,72,82,30
6/12/2025,1128.62,32483.12,63,15,23
6/13/2025,1125.06,22095.09,37,80,65
6/13/2025,1122.70,42301.91,77,97,01
6/16/2025,1112.70,21177.03,32,84,07
6/16/2025,1114.49,41122.78,75,82,92
6/17/2025,1116.20,15763.04,28,87,03
6/17/2025,1113.58,27531.25,76,40,81
6/18/2025,1114.33,15297.20,18,30,37
6/18/2025,1094.58,36048.37,14,32,88
6/19/2025,1076.00,25818.53,41,14,08
6/19/2025,1068.73,46634.59,49,12,34
6/20/2025,1072.02,15391.58,27,61,21
6/20/2025,1067.63,49577.05,32,29,37
6/23/2025,1063.49,19028.27,30,19,98
6/23/2025,1062.78,32506.99,27,82,86
6/24/2025,1086.32,29794.02,50,12,24
6/24/2025,1100.01,52840.03,89,24,10
6/25/2025,1097.20,33673.98,55,34,03
6/25/2025,1107.69,62662.66,24,10,92
6/26/2025,1115.47,24134.83,06,27,74
6/26/2025,1106.73,42119.63,36,72,39
6/27/2025,1087.20,17372.95,11,74,02
6/27/2025,1082.42,38598.23,48,91,28
6/30/2025,1085.61,24702.88,73,71,12
6/30/2025,1089.56,47225.04,48,09,65
7/1/2025,1092.13,15277.25,17,05,37
7/1/2025,1110.01,41714.05,34,65,14
7/2/2025,1105.42,18325.98,27,76,25
7/2/2025,1115.69,34958.34,64,27,98
7/3/2025,1119.36,18292.77,30,95,62
7/3/2025,1127.21,34920.97,75,82,10
7/4/2025,1123.98,14112.07,72,91,82
7/4/2025,1119.94,27794.63,62,71,44
7/7/2025,1111.46,16047.75,20,41,67
7/7/2025,1123.00,31447.59,88,51,07
7/8/2025,1118.47,15251.38,41,59,71
7/8/2025,1115.65,29535.64,27,05,55
7/9/2025,1111.60,16062.15,86,59,02
7/9/2025,1110.40,27165.01,67,76,05
7/11/2025,1127.71,18447.32,30,63,17
7/11/2025,1127.71,18447.32,40,97,37
7/14/2025,1131.91,15835.45,54,05,15
7/14/2025,1143.31,33684.38,27,91,14
7/15/2025,1149.22,24895.92,31,61,25
7/15/2025,1161.01,48024.99,84,94,14
7/16/2025,1161.25,24420.57,81,09,50
7/16/2025,1157.63,42928.06,92,52,38
7/17/2025,1191.01,37047.32,65,94,17
7/17/2025,1198.11,63374.58,13,68,14
7/18/2025,1205.17,33401.83,00,13,71
7/18/2025,1206.58,53775.57,81,31,85
7/21/2025,1205.27,23339.30,01,76,79
7/21/2025,1208.13,43213.00,20,14,33
7/22/2025,1206.57,24358.79,45,08,78
7/22/2025,1191.75,49095.62,27,10,55
7/23/2025,1218.63,27687.09,56,79,37
7/23/2025,1219.62,45127.72,36,83,27
7/24/2025,1216.15,24260.43,75,73,50
7/24/2025,1212.49,46887.92,61,19,97
7/25/2025,1210.75,20520.73,99,20,50
7/25/2025,1217.15,36910.98,90,54,50
7/29/2025,1218.06,24034.33,97,54,64
7/29/2025,1233.68,51323.28,79,56,83
7/30/2025,1238.69,28415.04,08,58,95
7/30/2025,1244.14,54670.81,35,46,40
7/31/2025,1242.99,30192.68,74,12,92
7/31/2025,1242.35,54200.06,61,80,50
8/1/2025,1237.15,25632.89,70,91,52
8/1/2025,1218.33,54586.68,36,65,36
8/4/2025,1222.67,25386.69,18,78,76
8/4/2025,1229.40,44358.92,19,73,08
8/5/2025,1244.19,28261.28,91,98,91
8/5/2025,1246.96,53040.81,43,62,60
8/6/2025,1263.78,39146.94,39,32,86
8/6/2025,1264.47,65232.67,48,97,72
8/7/2025,1274.76,34243.73,01,46,63
8/7/2025,1265.15,60459.25,39,93,59
8/8/2025,1259.40,30215.28,94,12,05
8/8/2025,1259.07,51232.32,81,09,72
8/13/2025,1271.81,38451.60,62,26,11
8/13/2025,1277.43,70067.54,19,89,37
8/14/2025,1269.78,34184.36,58,06,84
8/14/2025,1266.67,56938.83,70,60,78
8/15/2025,1258.62,27445.10,96,37,25
8/15/2025,1259.42,48320.80,40,87,20
8/18/2025,1254.70,20145.75,25,11,05
8/18/2025,1242.31,39299.17,94,49,19
8/19/2025,1246.45,22327.22,86,66,57
8/19/2025,1235.76,39590.96,39,39,60
8/20/2025,1235.32,18697.65,69,03,27
8/20/2025,1248.13,43127.12,24,80,37
8/21/2025,1246.00,24784.05,85,95,04
8/21/2025,1244.79,49180.56,50,38,90
8/22/2025,1254.77,21274.61,08,58,74
8/22/2025,1253.39,37999.28,55,86,99
8/25/2025,1265.11,21906.56,49,60,16
8/25/2025,1262.67,39908.97,71,05,78
8/26/2025,1259.70,24414.11,56,60,04
8/26/2025,1251.26,59158.26,41,49,68
8/27/2025,1256.48,29381.04,43,61,81
8/27/2025,1248.03,46883.53,83,67,33
8/28/2025,1248.17,15611.37,79,90,71
8/28/2025,1250.09,35798.91,38,43,98
8/29/2025,1245.17,18857.72,33,02,77
8/29/2025,1236.61,52475.14,66,02,15
9/1/2025,1239.77,17938.55,43,90,78
9/1/2025,1244.48,35696.48,80,11,86
9/2/2025,1248.84,20727.21,16,23,47
9/2/2025,1248.78,34424.58,75,74,84
9/3/2025,1259.46,26987.08,29,84,67
9/3/2025,1259.31,44707.38,12,80,17
9/4/2025,1263.42,24622.25,86,33,22
9/4/2025,1252.55,44813.45,27,16,53
9/5/2025,1261.82,27216.79,46,74,26
9/5/2025,1264.80,51657.81,49,67,07
9/8/2025,1265.15,30952.28,12,76,52
9/8/2025,1266.11,54546.06,39,53,16
9/9/2025,1270.81,23596.69,68,01,16
9/9/2025,1276.08,47384.85,83,72,84
9/10/2025,1277.68,23257.84,58,41,87
9/10/2025,1278.05,42552.94,34,15,52
9/11/2025,1286.41,25765.36,26,86,15
9/11/2025,1288.03,46753.07,45,04,33
9/12/2025,1292.13,21889.83,51,04,39
9/12/2025,1293.62,38576.94,62,08,26
9/15/2025,1297.60,20032.21,84,08,02
9/15/2025,1299.78,35280.04,91,99,80
9/16/2025,1306.38,25795.15,65,27,85
9/16/2025,1308.19,47455.08,05,51,95
